ticker,etf-id,etf_name,file_name
qual,256101,ishares-msci-usa-quality-factor-etf,QUAL_holdings
usmv,239695,ishares-msci-usa-minimum-volatility-etf,USMV_holdings
dgro,264623,ishares-core-dividend-growth-etf,DGRO_holdings
dvy,239500,ishares-select-dividend-etf,DVY_holdings
hdv,239563,ishares-high-dividend-etf,HDV_holdings
mtum,251614,ishares-msci-usa-momentum-factor-etf,MTUM_holdings
efav,239626,ishares-msci-eafe-minimum-volatility-etf,EFAV_holdings
iqlt,271540,ishares-msci-international-developed-quality-factor-etf,IQLT_holdings
vlue,251616,ishares-msci-usa-value-factor-etf,VLUE_holdings
acwv,239605,ishares-msci-all-country-world-minimum-volatility-etf,ACWV_holdings
eemv,239641,ishares-msci-emerging-markets-minimum-volatility-etf,EEMV_holdings
idv,239499,ishares-international-select-dividend-etf,IDV_holdings
ivlu,275382,ishares-msci-international-developed-value-factor-etf,IVLU_holdings
imtm,271538,ishares-msci-international-developed-momentum-factor-etf,IMTM_holdings
lrgf,272824,ishares-msci-usa-multi-factor-etf,LRGF_holdings
intf,272822,ishares-msci-international-multi-factor-etf,INTF_holdings
smmv,284609,ishares-msci-usa-small-cap-min-vol-factor-etf,SMMV_holdings
smlf,272825,ishares-msci-usa-small-cap-multi-factor-etf,SMLF_holdings
igro,283737,ishares-international-dividend-growth-etf,IGRO_holdings
dvye,239526,ishares-emerging-markets-dividend-etf,DVYE_holdings
emgf,272820,ishares-msci-emerging-multi-factor-etf,EMGF_holdings
iscf,272823,ishares-msci-international-small-cap-multi-factor-etf,ISCF_holdings
eusa,239693,ishares-msci-usa-etf,EUSA_holdings
size,251465,ishares-msci-usa-size-factor-etf,SIZE_holdings
divb,291387,ishares-core-dividend-etf,DIVB_holdings
isvl,317548,ishares-international-developed-small-cap-value-factor-etf,ISVL_holdings
sval,316394,ishares-us-small-cap-value-factor-etf,SVAL_holdings
dvya,239443,ishares-asiapacific-dividend-etf,DVYA_holdings
dynf,307283,blackrock-u-s-equity-factor-rotation-etf,DYNF_holdings
fovl,307330,ishares-focused-value-factor-etf,FOVL_holdings
